,Customer_name,Highlight,Ratings,Description
0,Shilpa,Alexa cannot hear once she starts playing,1.0,"The media could not be loaded.
                



 Alexa cannot hear after she starts playing"
1,Vikas Singh,Not that useful,3.0,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly."
2,Sumit,"Echo Dot never plays original songs, (No way to attach Audio Files)",1.0,"The media could not be loaded.
                



/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy."
3,Kumar Gautam,Not satisfied with the wipro smart bulb its not changing colour.,1.0,I bought this product to gift some one else and now I come to know that the product (wipro smart bulb) is faulty its not changing color.not satisfied with this deal.
4,One of Amazon lover🎭,Good Alexa with 'incompatible' smart wipro💡,4.0,"Alexa is very good but came with defective smart bulb..., took very much time for setting and now Alexa is replying 'device is not compatible'. Now the smart bulb is working as a normal bulb of Rs. 25/-"
5,Amazon Customer,Super smart speaker 🔊👏🏻👌🏻👍🏻,5.0,"The media could not be loaded.
                



 It's just amazing. I bought it for my son. And he is loving it like crazy. The perfect smart speaker with reasonable price. Must buy product if you want to buy a smart speaker. And I bought it Ina combo with light. And it's working super fine."
6,Bhuvan Luthra,Alexa a chinese agent,1.0,"The media could not be loaded.
                



 Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa"
7,Monu,Very good product,5.0,Bhut hi Achha hai aur bhut achhe se kam karta hai
8,Thakur Ankur Kumar Pratap singh,I recommend one more accessory,5.0,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory
9,Akash singh nishad,No warranty should be given to you so be alert buy on your own risk i try different companies spkr,1.0,"The media could not be loaded.
                



 Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you"
10,Vijay Kumar,Amazon is selling an experimental product.,1.0,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products."
11,abhiman,"Works wonderfully, Stupidly priced",3.0,"The media could not be loaded.
                



 Works beautifully, have bought 3 to link the entire house. Frequently group and play them together, use drop in to create an intercom, and have linked to speakers, bulbs, TV and other gadgets. I would still give this only 3 stars because it is double the rate here in India compared to the US. A country with 25 TIMES India's per capita income. What is this pricing Amazon? I understand there may be taxes in India but still. 2X the price ?This not withstanding will buy a larger Echo speaker whenever there is a sale on Echo with reasonable prices."
12,Jack,Awesome,5.0,"The media could not be loaded.
                



 Bought this and wipro 9w smart bulb in combo offer. Configured smart bulb in alexa. Cool thats it.Just say ""alexa, lights on"", ""alexa, turn light to red / blue"" etc.. you can alse even change the brightness ""alexa, change the brightness to 50%"" etc. You will get the manual within the wipro bulb box. There you can see the list of commands.Lets see the other options of echo dot. I connected this to home theater. It is just playing songs from any music station, my playlist. Tried these 2 options only. Mostly i play rhymes. Around INR 2500, i got this combo. Worth to play around."
